trial,list,itemid,item,type,condition,grammar,modality,verb_type,framing,picture,linguistic,critical,question,correct_answer
10,1,fl27,279,filler,filler,filler,linguistic,filler,"This afternoon, Ruby is",,drawing a portrait ,"After she completes it, Aaron will frame it for her.",Will Aaron frame Ruby’s portrait after she completes it?,Y
11,1,e5,173,critical,condition5,pronoun,visual,TRN,"Last weekend, Alice was",c5_cleaning_w.png,,Emma was_doing_it_too because she wanted_to invite guests.,,
12,1,fl4,256,filler,filler,filler,visual,filler,"Today, Carl is",f4_fixingwatch_m.png,,"Nevertheless, Mason thinks it’s easier to buy a new one.",Is Mason fixing Carl’s old watch?,N
13,1,f6,216,critical,condition6,pronoun,linguistic,TRN,"Yesterday, Jake was",,cutting an onion,Mike was_doing_it_too because he had_to prepare meals.,,
14,1,fl28,280,filler,filler,filler,linguistic,filler,"Later today, Olivia is",,flying a kite at the park,"Although the wind is light, Logan will give it a try as well.",Is Olivia flying a kite although the wind is light?,Y
15,1,a7,7,critical,condition1,ellipsis,visual,INT,"This afternoon, Sophia was",c7_running_w.png,,Ella was_too because she wanted_to enjoy the nice_weather.,,
16,1,fl5,257,filler,filler,filler,visual,filler,"This evening, Rachel is ",f5_preparingdinner_w.png,,"Before she starts, Mike will set the table to help speed things up.",Will Mike set the table?,Y
17,1,b8,50,critical,condition2,ellipsis,linguistic,TRN,"On Tuesday, Mark was",,walking a dog,Bob was_too because he wanted_to get some_exercise.,,
18,1,fl29,281,filler,filler,filler,linguistic,filler,"Tomorrow, Ella will",,bake a cake for her mother’s birthday,"Before she starts, Ethan will help her gather the ingredients.",Will Ethan help Ella gather ingredients before she starts baking?,Y
19,1,fl6,258,filler,filler,filler,visual,filler,"Tomorrow morning, Peter is ",f6_goingfoahike_m.png,,"Despite the early start, Claire plans to join him for the adventure.",Is Claire joining him for the adventure?,Y
20,1,c9,93,critical,condition3,canonical,visual,INT,"Last Friday, Mia was",c9_meditating_w.png,,Jessica was_relaxing because she wanted_to practice mindfulness.,,
21,1,fl30,282,filler,filler,filler,linguistic,filler,"This weekend, Mary will",,snorkel near the coral reef,"Although Logan doesn't have much experience, he will join her.",Is Logan joining Mary for snorkeling despite his lack of experience?,Y
22,1,d10,136,critical,condition4,canonical,linguistic,INT,"Yesterday, Sam was",,swimming,George was_weight-lifting because he wanted_to be fit.,,
23,1,fl7,259,filler,filler,filler,visual,filler,"This morning, Alice is ",f7_readingnovel_w.png,,"Although it’s a small task, Tom will water the garden in the backyard afterward.",Is Tom smoking a cigarette?,N
24,1,e11,179,critical,condition5,pronoun,visual,INT,"This morning, Elise was",c11_typing_w.png,,Anne was_doing_it_too because she had_to finish her_homework.,,
25,1,fl31,283,filler,filler,filler,linguistic,filler,"Later today, Anna is",,preparing a presentation,"After finishing hers, Ryan will practice delivering his.",Will Ryan practice delivering his presentation?,Y
26,1,f12,222,critical,condition6,pronoun,linguistic,TRN,"On Wednesday, Jacob was",,drinking a beer ,Phillip was_doing_it_too because he wanted_to forget the painful_breakup.,,
27,1,fl8,260,filler,filler,filler,visual,filler,"Tomorrow, Alex will",f8_wateringplants_m.png,,"Likewise, Sarah is going to water hers.",Will Sarah water her plants? ,Y
28,1,a13,13,critical,condition1,ellipsis,visual,INT,"Last weekend, Christina was",c13_sleeping_w.png,,Sarah was_too because she wanted_to relax after_work.,,
29,1,fl32,284,filler,filler,filler,linguistic,filler,"Tomorrow morning, Olivia will ",,run on the beach,"Nevertheless, Liam prefers to run on a treadmill.",Does Liam prefer to run on the beach?,N
30,1,fl9,261,filler,filler,filler,visual,filler,"This afternoon, Emma is ",f9_bakingcookies_w.png,,"After she finishes, Sophie will bake some for her neighbors.",Will Sophie bake something?,Y
31,1,b14,56,critical,condition2,ellipsis,linguistic,TRN,"Yesterday, Liam was",,playing the guitar,Noah was_too because he wanted_to practice his_guitar.,,
32,1,fl33,285,filler,filler,filler,linguistic,filler,"Today, Lily is ",,polishing her shoes,"Although it’s a small chore, Jake is reluctant to polish his.",Does Jake want to polish his shoes?,N
33,1,c15,99,critical,condition3,canonical,visual,INT,"This afternoon, Zoe was",c15_singing_w.png,,Clara was_dancing because she wanted_to entertain her_friends.,,
34,1,fl10,262,filler,filler,filler,visual,filler,"Next weekend, Ted will ",f10_strolliingwithadog_m.png,,"Nevertheless, Jake will stroll with his in a different area to avoid the crowds.",Is Jake strolling with his dog in the same park as Ted?,N
35,1,fl34,286,filler,filler,filler,linguistic,filler,"This evening, Ruby is",,arranging flowers in a vase,"Before displaying them, Ethan will trim the stems for her.",Will Ethan trim the flower stems?,Y
36,1,d16,142,critical,condition4,canonical,linguistic,INT,"Last Thursday, Henry was",,skiing,Adam was_snowboarding because he wanted_to make new_friends.,,
37,1,fl11,263,filler,filler,filler,visual,filler,"This morning, Daniela is ",f11_paintingroom_w.png,,"Although she dislikes painting, Maria is painting hers for a change of scenery.",Is Maria painting her room despite disliking it?,Y
38,1,e17,185,critical,condition5,pronoun,visual,INT,"Yesterday, Amelia was",c17_litstening_w.png,,Cathy was_doing_it_too because she wanted_to enjoy new_episodes.,,
39,1,fl35,287,filler,filler,filler,linguistic,filler,"Today, Sarah is",,sketching a landscape,"After completing hers, Alex will ask her for feedback on his.",Is Sarah sketching a landscape today?,Y
40,1,f18,228,critical,condition6,pronoun,linguistic,TRN,"This morning, Celeb was",,carrying furniture,Owen was_doing_it_too because he had_to move to_a_new_apartment.,,
41,1,fl12,264,filler,filler,filler,visual,filler,"Today, Ray is ",f12_learningtobike_m.png,,"After he masters it, Sam will give him tips for riding on trails.",Will Sam give tips?,Y
42,1,a19,19,critical,condition1,ellipsis,visual,INT,"Last weekend, Zara was",c19_climbing_w.png,,Natalie was_too because she wanted_to get healthier.,,
43,1,fl36,288,filler,filler,filler,linguistic,filler,"This weekend, Mia will ",,build a birdhouse,"Although Chris isn’t a fan of crafts, he will build one too.",Will Chris build a birdhouse?,Y
44,1,b20,62,critical,condition2,ellipsis,linguistic,INT,"Yesterday, Thomas was",,crying,Matthew was_too because he had_to leave the town.,,
45,1,fl13,265,filler,filler,filler,visual,filler,"This evening, Erica will ",f13_notingdown_w.png,,"Nevertheless, Anna might not take any since she prefers to listen attentively.",Does Anna prefer to listen attentively?,Y
46,1,fl37,289,filler,filler,filler,linguistic,filler,"This holiday season, Ava is ",,decorating her tree,"Nevertheless, Jacob is waiting until next week to start.",Is Jacob waiting until next week to decorate his tree?,Y
47,1,c21,105,critical,condition3,canonical,visual,INT,"This morning, Bella was",c21_laughing_w.png,,Chloe was_exercising because she needed_to release some_tension.,,
48,1,fl14,266,filler,filler,filler,visual,filler,"Later this week, Oscar will",f14_plantingflowers_m.png,,"Although the weather is unpredictable, Ethan will plant his tomorrow.",Is Oscar planting flowers?,Y
49,1,d22,148,critical,condition4,canonical,linguistic,INT,"On Tuesday, Blake was",,cycling,Ethan was_preparing because he needed_to go to_school.,,
50,1,fl38,290,filler,filler,filler,linguistic,filler,"Tomorrow morning, Lily will ",,clean her garage,"Before doing so, Noah will clear out the trash inside.",Will Noah clear the trash?,Y
51,1,e23,191,critical,condition5,pronoun,visual,TRN,"Last weekend, Grace was",c23_washingcar_w.png,,Fiona was_doing_it_too because she had_to impress her_parents.,,
52,1,fl15,267,filler,filler,filler,visual,filler,"This evening, Lucy is ",f15_organizingbookshelf_w.png,,"After she finishes, Chris will borrow a book from her.",Will Chris borrow a knife?,N
53,1,fl39,291,filler,filler,filler,linguistic,filler,"Today, Grace is ",,assembling furniture for her room,"After finishing, Lucas will help her move it into place.",Is Lucas going to sleep all day today?,N
54,1,f24,234,critical,condition6,pronoun,linguistic,TRN,"Yesterday, Isaac was",,playing baseball ,Zack was_doing_it_too because he wanted_to improve his_mental health.,,
55,1,fl16,268,filler,filler,filler,visual,filler,"Today, Jonathan is ",f16_draftingthesis_m.png,,"Nevertheless, Alex is still brainstorming his ideas.",Is Alex already drafting his thesis?,N
56,1,a25,25,critical,condition1,ellipsis,visual,INT,"This afternoon, Victoria was",c25_dancing_w.png,,Athena was_too because she needed_to prepare for_the performance.,,
57,1,fl40,292,filler,filler,filler,linguistic,filler,"This afternoon, Emma is ",,solving a jigsaw puzzle,"Although it’s challenging, Nathan is determined to complete one too.",Is Emma solving a jigsaw puzzle?,Y
58,1,b26,68,critical,condition2,ellipsis,linguistic,TRN,"Last weekend, Ryan was",,lighting a candle,Tyson was_too because he wanted_to set the mood_for_dinner.,,
59,1,fl17,269,filler,filler,filler,visual,filler,"Tomorrow morning, Britney will",f17_rakingleaves_w.png,,"Before doing so, Leo plans to clear the garden of fallen branches.",Will Leo clear the garden of fallen branches?,Y
60,1,c27,111,critical,condition3,canonical,visual,INT,"On Saturday, Sophia was",c27_iceskating_w.png,,Stella was_rafting because she wanted_to experience the famous_sport.,,
61,1,fl41,293,filler,filler,filler,linguistic,filler,"Tomorrow night, Olivia will ",,play the violin at the concert,"Nevertheless, Ethan feels nervous about performing his piece.",Will Olivia play the violin at the concert?,Y
62,1,d28,154,critical,condition4,canonical,linguistic,TRN,"Yesterday, Tyler was",,brushing his teeth,Joey was_shaving because he wanted_to look presentable.,,
63,1,fl18,270,filler,filler,filler,visual,filler,"Today, Kate is",f18_makingsandwitches_w.png,,"After she’s done, Daniel will help her pack them for a picnic.",Is Daniel making sandwitches?,N
64,1,e29,197,critical,condition5,pronoun,visual,INT,"This morning, Ruby was",c29_yawning_w.png,,Rebecca was_doing_it_too because she had_to stay up_late_last_night.,,
65,1,fl42,294,filler,filler,filler,linguistic,filler,"This month, Chloe is ",,learning to swim at the pool,"After her session, Mason will give her tips on improving her strokes.",Will Mason give Chloe swimming tips?,Y
66,1,f30,240,critical,condition6,pronoun,linguistic,INT,"Last weekend, Jordan was",,driving a car,Hugo was_doing_it_too because he needed_to see a_doctor.,,
67,1,fl19,271,filler,filler,filler,visual,filler,"Later today, Peter is ",f19_kneadingdough_.png,,"Although it takes time, Daniel is determined to knead his dough by hand.",Will Daniel knead his dough by hand?,Y
68,1,a31,31,critical,condition1,ellipsis,visual,INT,"On Sunday, Michaelle was",c31_boxing_w.png,,Maria was_too because she wanted_to release her_stress.,,
69,1,fl43,295,filler,filler,filler,linguistic,filler,"Later this week, Ella will ",,plant vegetables in her garden,"Before she starts, Ryan will test the soil quality for her.",Will Ryan test the soil quality?,Y
70,1,b32,74,critical,condition2,ellipsis,linguistic,INT,"Yesterday, Felix was",,surfing,Brandon was_too because he wanted_to enjoy his_free_time.,,
71,1,fl20,272,filler,filler,filler,visual,filler,"Later this afternoon, Emma is",f20_photographing_w.png,,"Although it’s cloudy, Ethan plans to photograph them too.",Is Ethan hunting birds?,N
72,1,c33,117,critical,condition3,canonical,visual,TRN,"This afternoon, Linda was",c33_digging_w.png,,Melissa was_rushing because she needed_to hide treasure.,,
73,1,fl44,296,filler,filler,filler,linguistic,filler,"This morning, Alex is",,reading a guidebook for his trip,"Before leaving, Sarah will compare her itinerary with his.",Is Alex reading a comic book?,N
74,1,d34,160,critical,condition4,canonical,linguistic,INT,"Two hours ago, Frank was",,packing,Martin was_stressing because he had_to leave for_Costa_Rica.,,
75,1,fl21,273,filler,filler,filler,visual,filler,"Tomorrow evening, Stanley will ",f21_foldinglaundry_m.png,,"Before he starts, Logan will separate his whites and colors.",Will Logan separate whites and colors?,Y
76,1,e35,203,critical,condition5,pronoun,visual,TRN,"Last weekend, Alicia was",c35_hunting_woman.png,,Isabella was_doing_it_too because she wanted_to get fresh_meat.,,
77,1,fl45,297,filler,filler,filler,linguistic,filler,"This afternoon, Tom is",,learning to skateboard at the park,"Although he struggles at first, Lisa is cheering him on.",Is Lisa cheering Tom on while he learns to skateboard?,Y
78,1,f36,246,critical,condition6,pronoun,linguistic,TRN,"On Monday, Dominic was",,throwing a spear,Andrew was_doing_it_too because he wanted_to show his_strength.,,
79,1,fl22,274,filler,filler,filler,visual,filler,"Today, Ava is ",f22_fixingbike_w.png,,"Nevertheless, Ethan is asking someone else to fix his.",Is Ethan fixing his own bike?,N
80,1,a37,37,critical,condition1,ellipsis,visual,TRN,"Yesterday, Daphne was",c37_hammering_w.png,,Bridget was_too because she wanted_to fix the_broken_roof.,,
81,1,fl46,298,filler,filler,filler,linguistic,filler,"Tomorrow, Lucas will ",,go hiking in the mountains,"After the hike, Grace will suggest a scenic spot for photos.",Will Grace suggest a scenic spot for photos?,Y
82,1,b38,80,critical,condition2,ellipsis,linguistic,INT,"This morning, Charles was",,crawling,Wyatt was_too because he needed_to calm his_nerves.,,
83,1,fl23,275,filler,filler,filler,visual,filler,"This month, Kyle is",f23_learningtoplaychess_m.png,,"After his lesson, Mason will challenge him to a game.",Will Mason challenge Kyle to a chess game?,Y
84,1,c39,123,critical,condition3,canonical,visual,TRN,"Two hours ago, Jasmin  was",c39_kicking_w.png,,Carla was_screaming because she had_to show her_dominance.,,
85,1,fl47,299,filler,filler,filler,linguistic,filler,"This weekend, Emma will ",,organize her closet,"Although she dislikes tidying up, Ethan will help her sort things out.",Is Ethan helping Emma?,Y
86,1,d40,166,critical,condition4,canonical,linguistic,TRN,"Last weekend, Logan was",,punching,Paul was_fleeing because he had_to protect himself.,,
87,1,fl24,276,filler,filler,filler,visual,filler,"Later this evening, Ella is ",f24_settinguptent_w.png,,"Although it’s getting late, Ryan insists on setting his up too.",Is Ryan insisting on setting up his tent?,Y
88,1,e41,209,critical,condition5,pronoun,visual,TRN,"On Tuesday, Catherine was",c41_pulling_w.png,,Jennifer was_doing_it_too because she needed_to lift the_heavy_couch.,,
89,1,fl48,300,filler,filler,filler,linguistic,filler,"Tomorrow morning, Ava will",,play soccer with her team,"Nevertheless, Liam will stick to watching from the sidelines.",Is Ava playing baseball?,N
90,1,f42,252,critical,condition6,pronoun,linguistic,INT,"Yesterday, Adam was",,fishing,Peter was_doing_it_too because he wanted_to enjoy some_solitude.,,
1,2,fl1,253,filler,filler,filler,visual,filler,"Later today, Sarah is ",f1_experimentingrecipe_w.png,,"After she’s done, Alex will taste-test the results.",Will Sarah taste-test the results?,N
2,2,b1,43,critical,condition2,ellipsis,linguistic,TRN,"Last Friday, Joanna was",,knitting a scarf,Elizabeth was_too because she wanted_to entertain herself.,,
3,2,fl25,277,filler,filler,filler,linguistic,filler,"Tomorrow, Lucas will ",,grill vegetables at the barbecue,"Before starting, Grace will marinate hers for extra flavor.",Will Grace marinate her vegetables before Lucas grills them?,Y
4,2,fl2,254,filler,filler,filler,visual,filler,"This afternoon, Greg is ",f2_learningtoknit_m.png,,"Although it’s his first time, Aaron is confident he'll do well.",Is Aaron learning to knit a scarf? ,N
5,2,c2,86,critical,condition3,canonical,visual,TRN,"Yesterday, Lucas was",c2_painting_m.png,,Nathan was_studying because she wanted_to be productive.,,
6,2,fl26,278,filler,filler,filler,linguistic,filler,"Today, Lily is ",,meditating by the lake,"Nevertheless, Liam prefers to meditate indoors where it’s quieter.",Is Liam meditating by the lake?,N
7,2,d3,129,critical,condition4,canonical,linguistic,TRN,"This morning, Maria was",,watering a plant,Kate was_cleaning because he needed_to be responsible.,,
8,2,fl3,255,filler,filler,filler,visual,filler,"Tomorrow, Olivia will",f3_runningerrands_w.png,,"Before she leaves, Liam will make a list to share with her.",Will Liam make a list before Olivia leaves?,Y
9,2,e4,172,critical,condition5,pronoun,visual,TRN,"On Monday, John was",c4_reading_m.png,,Oliver was_doing_it_too because he wanted_to learn history.,,
10,2,fl27,279,filler,filler,filler,linguistic,filler,"This afternoon, Ruby is",,drawing a portrait,"After she completes it, Aaron will frame it for her.",Will Aaron frame Ruby’s portrait after she completes it?,Y
11,2,f5,215,critical,condition6,pronoun,linguistic,TRN,"Last weekend, Alice was",,cleaning the floor,Emma was_doing_it_too because she wanted_to invite guests.,,
12,2,fl4,256,filler,filler,filler,visual,filler,"Today, Carl is",f4_fixingwatch_m.png,,"Nevertheless, Mason thinks it’s easier to buy a new one.",Is Mason fixing Carl’s old watch?,N
13,2,a6,6,critical,condition1,ellipsis,visual,TRN,"Yesterday, Jake was",c6_cutting_m.png,,Mike was_too because he had_to prepare meals.,,
14,2,fl28,280,filler,filler,filler,linguistic,filler,"Later today, Olivia is",,flying a kite at the park,"Although the wind is light, Logan will give it a try as well.",Is Olivia flying a kite although the wind is light?,Y
15,2,b7,49,critical,condition2,ellipsis,linguistic,INT,"This afternoon, Sophia was",,jogging,Ella was_too because she wanted_to enjoy the_nice_weather.,,
16,2,fl5,257,filler,filler,filler,visual,filler,"This evening, Rachel is ",f5_preparingdinner_w.png,,"Before she starts, Mike will set the table to help speed things up.",Will Mike set the table?,Y
17,2,c8,92,critical,condition3,canonical,visual,TRN,"On Tuesday, Mark was",c8_walkingdog_m.png,,Bob was_jogging because he wanted_to get some_exercise.,,
18,2,fl29,281,filler,filler,filler,linguistic,filler,"Tomorrow, Ella will",,bake a cake for her mother’s birthday,"Before she starts, Ethan will help her gather the ingredients.",Will Ethan help Ella gather ingredients before she starts baking?,Y
19,2,fl6,258,filler,filler,filler,visual,filler,"Tomorrow morning, Peter is ",f6_goingfoahike_m.png,,"Despite the early start, Claire plans to join him for the adventure.",Is Claire joining him for the adventure?,Y
20,2,d9,135,critical,condition4,canonical,linguistic,INT,"Last Friday, Mia was",,meditating,Jessica was_relaxing because she wanted_to practice mindfulness.,,
21,2,fl30,282,filler,filler,filler,linguistic,filler,"This weekend, Mary will",,snorkel near the coral reef ,"Although Logan doesn't have much experience, he will join her.",Is Logan joining Mary for snorkeling despite his lack of experience?,Y
22,2,e10,178,critical,condition5,pronoun,visual,INT,"Yesterday, Sam was",c10_swimming_m.png,,George was_doing_it_too because he wanted_to be fit.,,
23,2,fl7,259,filler,filler,filler,visual,filler,"This morning, Alice is ",f7_readingnovel_w.png,,"Although it’s a small task, Tom will water the garden in the backyard afterward.",Is Tom smoking a cigarette?,N
24,2,f11,221,critical,condition6,pronoun,linguistic,INT,"This morning, Elise was",,typing,Anne was_doing_it_too because she had_to finish her_homework.,,
25,2,fl31,283,filler,filler,filler,linguistic,filler,"Later today, Anna is",,preparing a presentation,"After finishing hers, Ryan will practice delivering his.",Will Ryan practice delivering his presentation?,Y
26,2,a12,12,critical,condition1,ellipsis,visual,TRN,"On Wednesday, Jacob was",c12_drinkingbeer_m.png,,Phillip was_too because he wanted_to forget the_painful_breakup.,,
27,2,fl8,260,filler,filler,filler,visual,filler,"Tomorrow, Alex will",f8_wateringplants_m.png,,"Likewise, Sarah is going to water hers.",Will Sarah water her plants? ,Y
28,2,b13,55,critical,condition2,ellipsis,linguistic,INT,"Last weekend, Christina was",,sleeping,Sarah was_too because she wanted_to relax after_work.,,
29,2,fl32,284,filler,filler,filler,linguistic,filler,"Tomorrow morning, Olivia will ",,run on the beach ,"Nevertheless, Liam prefers to run on a treadmill.",Does Liam prefer to run on the beach?,N
30,2,fl9,261,filler,filler,filler,visual,filler,"This afternoon, Emma is ",f9_bakingcookies_w.png,,"After she finishes, Sophie will bake some for her neighbors.",Will Sophie bake something?,Y
31,2,c14,98,critical,condition3,canonical,visual,TRN,"Yesterday, Liam was",c14_playingguitar_m.png,,Noah was_leaving because he wanted_to practice his_guitar.,,
32,2,fl33,285,filler,filler,filler,linguistic,filler,"Today, Lily is ",,polishing her shoes,"Although it’s a small chore, Jake is reluctant to polish his.",Does Jake want to polish his shoes?,N
33,2,d15,141,critical,condition4,canonical,linguistic,INT,"This afternoon, Zoe was",,singing,Clara was_dancing because she wanted_to entertain her_friends.,,
34,2,fl10,262,filler,filler,filler,visual,filler,"Next weekend, Ted will ",f10_strolliingwithadog_m.png,,"Nevertheless, Jake will stroll with his in a different area to avoid the crowds.",Is Jake strolling with his dog in the same park as Ted?,N
35,2,fl34,286,filler,filler,filler,linguistic,filler,"This evening, Ruby is",,arranging flowers in a vase,"Before displaying them, Ethan will trim the stems for her.",Will Ethan trim the flower stems?,Y
36,2,e16,184,critical,condition5,pronoun,visual,INT,"Last Thursday, Henry was",c16_skiing_m.png,,Adam was_doing_it_too because he wanted_to improve his_skill.,,
37,2,fl11,263,filler,filler,filler,visual,filler,"This morning, Daniela is ",f11_paintingroom_w.png,,"Although she dislikes painting, Maria is painting hers for a change of scenery.",Is Maria painting her room despite disliking it?,Y
38,2,f17,227,critical,condition6,pronoun,linguistic,INT,"Yesterday, Amelia was",,listening,Cathy was_doing_it_too because she wanted_to enjoy new_episodes.,,
39,2,fl35,287,filler,filler,filler,linguistic,filler,"Today, Sarah is",,sketching a landscape,"After completing hers, Alex will ask her for feedback on his.",Is Sarah sketching a landscape today?,Y
40,2,a18,18,critical,condition1,ellipsis,visual,TRN,"This morning, Celeb was",c18_carryingfuniture_m.png,,Owen was_too because he had_to move to_a_new_apartment.,,
41,2,fl12,264,filler,filler,filler,visual,filler,"Today, Ray is ",f12_learningtobike_m.png,,"After he masters it, Sam will give him tips for riding on trails.",Will Sam give tips?,Y
42,2,b19,61,critical,condition2,ellipsis,linguistic,INT,"Last weekend, Zara was",,climbing a wall,Natalie was_too because she wanted_to get healthier.,,
43,2,fl36,288,filler,filler,filler,linguistic,filler,"This weekend, Mia will ",,build a birdhouse,"Although Chris isn’t a fan of crafts, he will build one too.",Will Chris build a birdhouse?,Y
44,2,c20,104,critical,condition3,canonical,visual,INT,"Yesterday, Thomas was",c20_crying_m.png,,Matthew was_hurrying because he had_to leave town.,,
45,2,fl13,265,filler,filler,filler,visual,filler,"This evening, Erica will ",f13_notingdown_w.png,,"Nevertheless, Anna might not take any since she prefers to listen attentively.",Does Anna prefer to listen attentively?,Y
46,2,fl37,289,filler,filler,filler,linguistic,filler,"This holiday season, Ava is ",,decorating her tree,"Nevertheless, Jacob is waiting until next week to start.",Is Jacob waiting until next week to decorate his tree?,Y
47,2,d21,147,critical,condition4,canonical,linguistic,INT,"This morning, Bella was",,laughing,Chloe was_exercising because she needed_to release some_tension.,,
48,2,fl14,266,filler,filler,filler,visual,filler,"Later this week, Oscar will",f14_plantingflowers_m.png,,"Although the weather is unpredictable, Ethan will plant his tomorrow.",Is Oscar planting flowers?,Y
49,2,e22,190,critical,condition5,pronoun,visual,INT,"On Tuesday, Blake was",c22_bicycling_m.png,,Ethan was_doing_it_too because he needed_to go to_school.,,
50,2,fl38,290,filler,filler,filler,linguistic,filler,"Tomorrow morning, Lily will ",,clean her garage,"Before doing so, Noah will clear out the trash inside.",Will Noah clear the trash?,Y
51,2,f23,233,critical,condition6,pronoun,linguistic,TRN,"Last weekend, Grace was",,washing a car,Fiona was_doing_it_too because she had_to impress her_parents.,,
52,2,fl15,267,filler,filler,filler,visual,filler,"This evening, Lucy is ",f15_organizingbookshelf_w.png,,"After she finishes, Chris will borrow a book from her.",Will Chris borrow a knife?,N
53,2,fl39,291,filler,filler,filler,linguistic,filler,"Today, Grace is ",,assembling furniture for her room,"After finishing, Lucas will help her move it into place.",Is Lucas going to sleep all day today?,N
54,2,a24,24,critical,condition1,ellipsis,visual,TRN,"Yesterday, Isaac was",c24_playingbaseball_m.png,,Zack was_too because he wanted_to improve his health.,,
55,2,fl16,268,filler,filler,filler,visual,filler,"Today, Jonathan is ",f16_draftingthesis_m.png,,"Nevertheless, Alex is still brainstorming his ideas.",Is Alex already drafting his thesis?,N
56,2,b25,67,critical,condition2,ellipsis,linguistic,INT,"This afternoon, Victoria was",,dancing,Athena was_too because she needed_to prepare for_the performance.,,
57,2,fl40,292,filler,filler,filler,linguistic,filler,"This afternoon, Emma is ",,solving a jigsaw puzzle,"Although it’s challenging, Nathan is determined to complete one too.",Is Emma solving a jigsaw puzzle?,Y
58,2,c26,110,critical,condition3,canonical,visual,TRN,"Last weekend, Ryan was",c26_lightingcandle_man.png,,Tyson was_dancing because he wanted_to set the mood_for_dinner,,
59,2,fl17,269,filler,filler,filler,visual,filler,"Tomorrow morning, Britney will",f17_rakingleaves_w.png,,"Before doing so, Leo plans to clear the garden of fallen branches.",Will Leo clear the garden of fallen branches?,Y
60,2,d27,153,critical,condition4,canonical,linguistic,INT,"On Saturday, Sophia was",,iceskating,Stella was_rafting because she wanted_to experience the famous_sport.,,
61,2,fl41,293,filler,filler,filler,linguistic,filler,"Tomorrow night, Olivia will ",,play the violin at the concert,"Nevertheless, Ethan feels nervous about performing his piece.",Will Olivia play the violin at the concert?,Y
62,2,e28,196,critical,condition5,pronoun,visual,TRN,"Yesterday, Tyler was",c28_brushingteeth_m.png,,Joey was_doing_it_too because he wanted_to look presentable.,,
63,2,fl18,270,filler,filler,filler,visual,filler,"Today, Kate is",f18_makingsandwitches_w.png,,"After she’s done, Daniel will help her pack them for a picnic.",Is Daniel making sandwitches?,N
64,2,f29,239,critical,condition6,pronoun,linguistic,INT,"This morning, Ruby was",,yawning,Rebecca was_doing_it_too because she had_to stay up_late_last_night.,,
65,2,fl42,294,filler,filler,filler,linguistic,filler,"This month, Chloe is ",,learning to swim at the pool,"After her session, Mason will give her tips on improving her strokes.",Will Mason give Chloe swimming tips?,Y
66,2,a30,30,critical,condition1,ellipsis,visual,INT,"Last weekend, Jordan was",c30_driving_m.png,,Hugo was_too because he needed_to see a_doctor.,,
67,2,fl19,271,filler,filler,filler,visual,filler,"Later today, Peter is ",f19_kneadingdough_.png,,"Although it takes time, Daniel is determined to knead his dough by hand.",Will Daniel knead his dough by hand?,Y
68,2,b31,73,critical,condition2,ellipsis,linguistic,INT,"On Sunday, Michaelle was",,boxing,Maria was_too because she wanted_to release her_stress.,,
69,2,fl43,295,filler,filler,filler,linguistic,filler,"Later this week, Ella will ",,plant vegetables in her garden,"Before she starts, Ryan will test the soil quality for her.",Will Ryan test the soil quality?,Y
